productid,productname,category,unitprice,productsku,condition
2000,Electronics-Be,Electronics,969.31,10211.0,New
2001,Electronics-Be,Clothing,412.35,10212.0,Used
2002,Office-Family,Clothing,866.0,10213.0,Used
2003,Electronics-Training,Clothing,385.18,10214.0,New
2004,Office-Where,Home,927.25,10215.0,Used
2005,Office-Huge,Home,428.78,10216.0,New
2006,Office-Class,Clothing,198.0,10217.0,Used
2007,Clothing-Over,Electronics,583.39,10218.0,Used
2008,Electronics-Skin,Home,66.59,10219.0,New
2009,Office-Raise,Clothing,66.31,10220.0,New
2010,Electronics-Themselves,Clothing,77.84,,Used
2011,Electronics-Religious,Clothing,409.74,10222.0,Used
2012,Clothing-Artist,Electronics,623.19,10223.0,New
2013,Office-Cultural,Home,935.36,10224.0,Used
2014,Clothing-Eat,Home,246.3,10225.0,New
2015,Office-Itself,Clothing,674.97,10226.0,Used
2016,Home-He,Office,323.02,10227.0,Used
2017,Electronics-Feeling,Electronics,463.7,10228.0,New
2018,Electronics-Nature,Electronics,542.26,10229.0,New
2019,Home-History,Clothing,933.93,10230.0,Used
2020,Electronics-Share,Clothing,375.83,10231.0,Used
2021,Clothing-Skill,Office,835.41,10232.0,New
2022,Home-Economy,Electronics,671.18,10233.0,Used
2023,Home-Yeah,Electronics,939.54,10234.0,New
2024,Clothing-Paper,Home,124.27,10235.0,Used
2025,Electronics-Assume,Clothing,279.62,0.0,Used
2026,Clothing-Use,Home,211.56,10237.0,New
2027,Home-Purpose,Office,258.61,10238.0,New
2028,Electronics-Take,Electronics,637.94,10239.0,Used
2029,Home-Yourself,Electronics,13.51,10240.0,Used
2030,Clothing-First,Home,169.97,10241.0,New
2031,Office-Develop,Office,565.3,10242.0,Used
2032,Electronics-There,Electronics,945.6,10243.0,New
2033,Clothing-Argue,Electronics,836.25,10244.0,Used
2034,Clothing-Feel,Office,136.17,10245.0,Ued
2035,Home-According,Home,899.99,10246.0,New
2036,Electronics-Candidate,Home,217.98,10247.0,New
2037,Clothing-Meeting,Electronics,360.14,10248.0,Used
2038,Office-Soon,Clothing,926.51,10249.0,Used
2039,Clothing-Need,Clothing,976.44,10250.0,New
2040,Clothing-Determine,Office,34.54,,Used
2041,Home-Assume,Office,804.21,10252.0,New
2042,Clothing-Lawyer,Home,167.61,10253.0,Used
2043,Electronics-Practice,Office,873.45,10254.0,Used
2044,Office-Society,Clothing,207.58,10255.0,New
2045,Office-Next,Home,312.14,10256.0,New
2046,Clothing-Worry,Clothing,33.43,10257.0,Used
2047,Clothing-Hair,Office,334.98,10258.0,Used
2048,Electronics-Candidate,Home,357.63,10259.0,New
2049,Office-Easy,Home,939.84,10260.0,Used
2050,Electronics-Young,Home,186.78,10261.0,New
2051,Home-Century,Electronics,117.32,101011111111262.0,Used
2052,Office-Year,Home,731.26,10263.0,Used
2053,Home-Ground,Office,610.15,10264.0,New
2054,Electronics-Above,Office,900.51,10265.0,New
2055,Clothing-Politics,Home,53.94,10266.0,Used
2056,Office-About,Electronics,524.72,10267.0,Used
2057,Clothing-Identify,Home,436.98,10268.0,New
2058,Home-Wear,Home,666.75,10269.0,Used
2059,Electronics-Clear,Home,512.05,10270.0,New
2060,Office-Term,Home,408.38,10271.0,Used
2061,Home-Quite,Clothing,199.92,10272.0,Used
2062,Office-Receive,Clothing,619.36,10273.0,New
2063,Home-Good,Office,552.46,10274.0,New
2064,Electronics-Stop,Home,294.04,10275.0,New
2065,Office-Animal,Home,470.34,10276.0,Used
2066,Office-Occur,Clothing,516.06,10277.0,Used
2067,Clothing-Remain,Electronics,290.95,10278.0,New
2068,Home-Read,Electronics,820.24,10279.0,Used
2069,Clothing-Garden,Home,232.39,10280.0,New
2070,Clothing-About,Clothing,34.18,10281.0,Used
2071,Clothing-Success,Office,615.16,10282.0,Used
2072,Electronics-Become,Office,420.3,10283.0,New
2073,Clothing-Executive,Office,499.43,10284.0,New
2074,Clothing-Strong,Clothing,659.5,10285.0,Used
2075,Electronics-Letter,Electronics,780.64,10286.0,Used
2076,Clothing-Affect,Clothing,806.07,10287.0,New
2077,Office-Ball,Electronics,561.83,10288.0,Used
2078,Electronics-Film,Office,142.01,10289.0,New
2079,Office-Who,Home,950.54,10290.0,Used
2080,Office-Doctor,Office,832.26,10291.0,Used
2081,Office-Light,Clothing,746.22,10292.0,New
2082,Office-Figure,Office,266.6,10293.0,New
2083,Clothing-Cut,Home,768.16,10294.0,Used
2084,Office-Stuff,Clothing,281.85,10295.0,Used
2085,Electronics-Officer,Home,242.15,10296.0,New
2086,Home-Of,Home,894.1,10297.0,Used
2087,Electronics-Rather,Clothing,159.32,10298.0,New
2088,Office-Evening,Clothing,709.35,10299.0,
2089,Electronics-Action,Office,413.52,10300.0,Used
2090,Office-Staff,Office,71.64,10301.0,New
2091,Office-Mrs,Office,905.79,10302.0,New
2092,Electronics-Add,Office,482.21,10303.0,Used
2093,Home-Real,Home,755.94,10304.0,Used
2094,Office-Fight,Clothing,493.35,10305.0,New
2095,Home-Seem,Office,490.79,10306.0,Used
2096,Office-Discuss,Home,672.18,10307.0,New
2097,Office-Recent,Clothing,842.1,10308.0,Used
2098,Clothing-Trouble,Electronics,907.86,10309.0,Used
2099,Electronics-Several,Electronics,646.32,10310.0,New
